# Snake FOV scan log — 2026-08-06
# START-END  LABEL  SHUTTER
# Five frames per dwell (last dwell may be shorter).
# Snake data: frames 301–889. Add a 'background close' block if needed.
301-305  snake         open
306-310  snake         open
311-315  snake         open
316-320  snake         open
321-325  snake         open
326-330  snake         open
331-335  snake         open
336-340  snake         open
341-345  snake         open
346-350  snake         open
351-355  snake         open
356-360  snake         open
361-365  snake         open
366-370  snake         open
371-375  snake         open
376-380  snake         open
381-385  snake         open
386-390  snake         open
391-395  snake         open
396-400  snake         open
401-405  snake         open
406-410  snake         open
411-415  snake         open
416-420  snake         open
421-425  snake         open
426-430  snake         open
431-435  snake         open
436-440  snake         open
441-445  snake         open
446-450  snake         open
451-455  snake         open
456-460  snake         open
461-465  snake         open
466-470  snake         open
471-475  snake         open
476-480  snake         open
481-485  snake         open
486-490  snake         open
491-495  snake         open
496-500  snake         open
501-505  snake         open
506-510  snake         open
511-515  snake         open
516-520  snake         open
521-525  snake         open
526-530  snake         open
531-535  snake         open
536-540  snake         open
541-545  snake         open
546-550  snake         open
551-555  snake         open
556-560  snake         open
561-565  snake         open
566-570  snake         open
571-575  snake         open
576-580  snake         open
581-585  snake         open
586-590  snake         open
591-595  snake         open
596-600  snake         open
601-605  snake         open
606-610  snake         open
611-615  snake         open
616-620  snake         open
621-625  snake         open
626-630  snake         open
631-635  snake         open
636-640  snake         open
641-645  snake         open
646-650  snake         open
651-655  snake         open
656-660  snake         open
661-665  snake         open
666-670  snake         open
671-675  snake         open
676-680  snake         open
681-685  snake         open
686-690  snake         open
691-695  snake         open
696-700  snake         open
701-705  snake         open
706-710  snake         open
711-715  snake         open
716-720  snake         open
721-725  snake         open
726-730  snake         open
731-735  snake         open
736-740  snake         open
741-745  snake         open
746-750  snake         open
751-755  snake         open
756-760  snake         open
761-765  snake         open
766-770  snake         open
771-775  snake         open
776-780  snake         open
781-785  snake         open
786-790  snake         open
791-795  snake         open
796-800  snake         open
801-805  snake         open
806-810  snake         open
811-815  snake         open
816-820  snake         open
821-825  snake         open
826-830  snake         open
831-835  snake         open
836-840  snake         open
841-845  snake         open
846-850  snake         open
851-855  snake         open
856-860  snake         open
861-865  snake         open
866-870  snake         open
871-875  snake         open
876-880  snake         open
881-885  snake         open
886-889  snake         open
